framework,scenario,metric_name,median,mean,min,max,std_dev,total_runs,discarded_runs
Angular,initial-page-load,fcp,80,88,76,124,18.066543665017942,5,
Angular,initial-page-load,lcp,80,97.6,76,172,37.23224409030431,5,
Angular,initial-page-load,cls,0,0,0,0,0,5,
Angular,initial-page-load,tti,10.39999999999418,18.879999999998837,9.39999999999418,42.5,12.71933960550033,5,
Angular,initial-page-load,tbt,0,0,0,0,0,5,
Angular,initial-page-load,initial_heap_size,37300000,36860000,35100000,37300000,880000,5,
Angular,initial-page-load,initial_used_heap,18200000,17980000,17100000,18200000,440000,5,
Angular,initial-page-load,request_count,57,57,57,57,0,5,
Angular,initial-page-load,total_bytes,501415,501415,501415,501415,0,5,
Angular,initial-page-load,network_duration,1303,1320,1238,1404,59.37339471514156,5,
Angular,initial-page-load,largest_request,253122,253122,253122,253122,0,5,
Angular,initial-page-load,avg_api_response_time,15,10.6,1,19,7.552483035399683,5,
Angular,initial-page-load,total_navigation_time,600,605,585,652,24.511221919765646,5,
Angular,filter-application,filter_duration,112.39999999999418,115.6399999999965,103.89999999999418,139.20000000001164,12.319188284955372,5,
Angular,filter-application,total_filter_time,105,111.6,100,136,12.784365451597509,5,
Angular,filter-application,memory_delta,0,0,0,0,0,5,
Angular,filter-application,filtered_row_count,11,11,11,11,0,5,
Angular,filter-application,js_execution_time,112.39999999999418,115.6399999999965,103.89999999999418,139.20000000001164,12.319188284955372,5,
Angular,clear-filters,clear_duration,677.1000000000058,614.7599999999977,475.29999999998836,734.3999999999942,104.67959877646138,5,
Angular,clear-filters,total_clear_time,591,531,396,646,100.63995230523511,5,
Angular,clear-filters,memory_delta,0,0,0,0,0,5,
Angular,clear-filters,restored_row_count,50,50,50,50,0,5,
Angular,expand-collapse-description,expand_duration,106.60000000000582,110.16000000000932,105.5,116.90000000002328,5.001839661569401,5,
Angular,expand-collapse-description,expand_total_time,105,108.6,104,115,4.841487374764082,5,
Angular,expand-collapse-description,expand_cls_delta,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0,5,
Angular,expand-collapse-description,collapse_duration,105,105.07999999999883,104.10000000000582,106.29999999998836,0.7704544113651612,5,
Angular,expand-collapse-description,collapse_total_time,103,103.4,102,105,1.019803902718557,5,
