run_number,framework,scenario,timestamp,metric_name,value,unit
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,fcp,124,ms
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,lcp,172,ms
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,cls,0,score
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,tti,42.5,ms
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,tbt,0,ms
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,initial_heap_size,37300000,bytes
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,initial_used_heap,18200000,bytes
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,request_count,57,count
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,total_bytes,501415,bytes
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,network_duration,1369,ms
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,largest_request,253122,bytes
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,avg_api_response_time,19,ms
1,Angular,initial-page-load,2025-12-14T00:26:13.266Z,total_navigation_time,652,ms
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,fcp,80,ms
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,lcp,80,ms
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,cls,0,score
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,tti,10,ms
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,tbt,0,ms
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,initial_heap_size,37300000,bytes
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,initial_used_heap,18200000,bytes
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,request_count,57,count
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,total_bytes,501415,bytes
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,network_duration,1404,ms
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,largest_request,253122,bytes
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,avg_api_response_time,15,ms
2,Angular,initial-page-load,2025-12-14T00:26:15.821Z,total_navigation_time,602,ms
3,Angular,initial-page-load,2025-12-14T00:26:18.282Z,fcp,76,ms
3,Angular,initial-page-load,2025-12-14T00:26:18.282Z,lcp,76,ms
3,Angular,initial-page-load,2025-12-14T00:26:18.282Z,cls,0,score
